Error_Category,Citation_Text,URL,Error_Type,HTTP_Status,Publisher_Domain,Error_Message,Suggested_Fix
Publisher_Access,Pagourtzi et al. 2003,https://doi.org/10.1108/14635780310483656,403_Forbidden,403,emerald.com,Client Error: Forbidden for url: https://www.emerald.com/jpif/article/21/4/383-401/236553,Add Emerald-specific extractor
Publisher_Access,Gabrielli and French 2021,https://doi.org/10.1108/JPIF-09-2020-0101,403_Forbidden,403,emerald.com,Client Error: Forbidden for url: https://www.emerald.com/jpif/article/39/5/464-480/450911,Add Emerald-specific extractor
Publisher_Access,You and Chang 2009,https://doi.org/10.1108/02637470910998465,403_Forbidden,403,emerald.com,Client Error: Forbidden for url: https://www.emerald.com/pm/article/27/5/302-318/322726,Add Emerald-specific extractor
Publisher_Access,d'Amato & Kauko 2007,https://doi.org/10.1108/14635780710776654,404_Not_Found,404,doi.org,Client Error: Not Found for url: https://doi.org/10.1108/14635780710776654,Verify DOI validity
Publisher_Access,Polychronis et al. 2024,https://www.mdpi.com/2227-7080/12/8/128,403_Forbidden,403,mdpi.com,Client Error: Forbidden for url: https://www.mdpi.com/2227-7080/12/8/128,Improve MDPI workaround
Publisher_Access,Agarwal et al. 2021,https://doi.org/10.1073/pnas.2100050118,403_Forbidden,403,pnas.org,Client Error: Forbidden for url: https://pnas.org/doi/full/10.1073/pnas.2100050118,Add PNAS-specific extractor
Publisher_Access,Polychronis et al. 2024,https://doi.org/10.3390/technologies12080128,403_Forbidden,403,mdpi.com,Client Error: Forbidden for url: https://www.mdpi.com/2227-7080/12/8/128,Improve MDPI workaround
Publisher_Access,Szumilo & Wiegelmann 2024,https://doi.org/10.1108/jpif-01-2024-0001,403_Forbidden,403,emerald.com,Client Error: Forbidden for url: https://www.emerald.com/jpif/article/42/2/211-217/1227343,Add Emerald-specific extractor
Publisher_Access,Tagliaro et al. 2024,https://doi.org/10.1108/jerer-05-2024-0035,403_Forbidden,403,emerald.com,Client Error: Forbidden for url: https://www.emerald.com/jerer/article/12/1/148-166/1263733,Add Emerald-specific extractor
Publisher_Access,2020,https://doi.org/10.1145/3503250,403_Forbidden,403,dl.acm.org,Client Error: Forbidden for url: https://dl.acm.org/doi/10.1145/3503250,Add ACM-specific extractor
Publisher_Access,Diakopoulos 2016,https://doi.org/10.1080/21670811.2014.976411,403_Forbidden,403,tandfonline.com,Client Error: Forbidden for url: https://www.tandfonline.com/doi/full/10.1080/21670811.2014.976411,Add Taylor&Francis extractor
Malformed_Citation,[16,Unknown,Invalid_Markdown,N/A,Unknown,Invalid markdown link format,Fix markdown syntax
Malformed_Citation,[37,Unknown,Invalid_Markdown,N/A,Unknown,Invalid markdown link format,Fix markdown syntax
Malformed_Citation,39,Unknown,Bare_Number,N/A,Unknown,Bare number used as citation,Use proper citation format
Malformed_Citation,[59,Unknown,Invalid_Markdown,N/A,Unknown,Invalid markdown link format,Fix markdown syntax
Malformed_Citation,60,Unknown,Bare_Number,N/A,Unknown,Bare number used as citation,Use proper citation format
Malformed_Citation,[62,Unknown,Invalid_Markdown,N/A,Unknown,Invalid markdown link format,Fix markdown syntax
Malformed_Citation,[66,Unknown,Invalid_Markdown,N/A,Unknown,Invalid markdown link format,Fix markdown syntax
Malformed_Citation,67,Unknown,Bare_Number,N/A,Unknown,Bare number used as citation,Use proper citation format
Malformed_Citation,[74,Unknown,Invalid_Markdown,N/A,Unknown,Invalid markdown link format,Fix markdown syntax
Malformed_Citation,75,Unknown,Bare_Number,N/A,Unknown,Bare number used as citation,Use proper citation format
Malformed_Citation,77,Unknown,Bare_Number,N/A,Unknown,Bare number used as citation,Use proper citation format
Malformed_Citation,[80,Unknown,Invalid_Markdown,N/A,Unknown,Invalid markdown link format,Fix markdown syntax
Malformed_Citation,89,Unknown,Bare_Number,N/A,Unknown,Bare number used as citation,Use proper citation format
Malformed_Citation,91,Unknown,Bare_Number,N/A,Unknown,Bare number used as citation,Use proper citation format
Malformed_Citation,94,Unknown,Bare_Number,N/A,Unknown,Bare number used as citation,Use proper citation format
Malformed_Citation,106,Unknown,Bare_Number,N/A,Unknown,Bare number used as citation,Use proper citation format
Malformed_Citation,112,Unknown,Bare_Number,N/A,Unknown,Bare number used as citation,Use proper citation format
Malformed_Citation,114,Unknown,Bare_Number,N/A,Unknown,Bare number used as citation,Use proper citation format
